CÓDIGO DE DEPARTAMENTO,NOMBRE DEL DEPARTAMENTO,CÓDIGO DE MUNICIPIO,NOMBRE DE MUNICIPIO,NOMBRE PARAMO,NOMBRE ÁREA PROTEGIDA,ÁREAS PROTEGIDAS DEL SISTEMA NACIONAL DE AREAS PROTEGIDAS,CATEGORÍA DE ÁREAS PROTEGIDAS (Decreto 2372/2010),ADMINISTRADOR,FECHA INICIO DE ADMINISTRACIÓN,ÁREA - HECTÁREAS,EJECUCIÓN DE PROYECTOS DE LA RAPE REGION CENTRAL
15,Boyaca,15861,VENTAQUEMADA,Altiplano Cundiboyacense,Paramo Rabanal,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,02/07/2011 12:00:00 AM,71.84,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15861,VENTAQUEMADA,Rabanal y rio Bogota,Paramo de Rabanal,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/15/2009 12:00:00 AM,1.92,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15861,VENTAQUEMADA,Rabanal y rio Bogota,Paramo Rabanal,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,02/07/2011 12:00:00 AM,2435.12,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15861,VENTAQUEMADA,Rabanal y rio Bogota,Paramo de Rabanal,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,12/30/1992 12:00:00 AM,15.34,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15518,PAJARITO,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,350.01,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15511,PACHAVITA,Rabanal y rio Bogota,"Paramo de Cristales, Castillejo o Gauchaneque",Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,12/20/2011 12:00:00 AM,194.7,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25873,VILLAPINZON,Rabanal y rio Bogota,Paramo Rabanal,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,02/07/2011 12:00:00 AM,10.04,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25873,VILLAPINZON,Rabanal y rio Bogota,Paramo de Rabanal,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,12/30/1992 12:00:00 AM,16.13,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25873,VILLAPINZON,Rabanal y rio Bogota,"Paramo de Cristales, Castillejo o Gauchaneque",Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,12/20/2011 12:00:00 AM,144.52,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25873,VILLAPINZON,Rabanal y rio Bogota,Nacimiento del Rio Bogota,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,03/31/1982 12:00:00 AM,1350.81,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
